epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6407,1.14883,1.33335,1.393,0.66651,0.72767,0.74289,0.43191,1.43815,1.46996,1.57326,3.32275e-05,3.32275e-05,0.0668057
2,44.7003,1.14731,1.23624,1.38622,0.67024,0.71871,0.74727,0.43344,1.4407,1.43408,1.58252,6.39011e-05,6.39011e-05,0.0335031
3,64.6964,1.14039,1.21787,1.38026,0.67268,0.7243,0.74866,0.43594,1.42929,1.41927,1.57397,9.19106e-05,9.19106e-05,0.000197731
4,84.6359,1.13343,1.22727,1.38361,0.69184,0.7158,0.74935,0.434,1.43351,1.41982,1.5775,8.8012e-05,8.8012e-05,8.8012e-05
5,104.577,1.14728,1.21621,1.39454,0.69603,0.70732,0.75008,0.43337,1.43064,1.41217,1.5809,8.4016e-05,8.4016e-05,8.4016e-05
6,124.485,1.13497,1.21782,1.39313,0.71169,0.70009,0.74391,0.43565,1.43008,1.41561,1.58051,8.002e-05,8.002e-05,8.002e-05
7,144.353,1.1295,1.21027,1.36986,0.69988,0.7138,0.74872,0.43423,1.43393,1.41799,1.58647,7.6024e-05,7.6024e-05,7.6024e-05
8,164.067,1.12054,1.2099,1.37701,0.71545,0.70057,0.75121,0.43246,1.42384,1.41139,1.58326,7.2028e-05,7.2028e-05,7.2028e-05
9,184.918,1.1353,1.20095,1.38808,0.68002,0.71956,0.74799,0.43267,1.42228,1.42095,1.57719,6.8032e-05,6.8032e-05,6.8032e-05
10,205.37,1.1274,1.19235,1.38825,0.67495,0.73745,0.7478,0.43484,1.42877,1.41922,1.57939,6.4036e-05,6.4036e-05,6.4036e-05
11,225.869,1.12759,1.19279,1.38121,0.68704,0.73629,0.74664,0.43272,1.43771,1.41648,1.59144,6.004e-05,6.004e-05,6.004e-05
12,246.681,1.11948,1.20319,1.38541,0.67945,0.74018,0.74978,0.43895,1.42086,1.41085,1.57607,5.6044e-05,5.6044e-05,5.6044e-05
13,267.525,1.10745,1.18057,1.36531,0.68421,0.73396,0.74915,0.43502,1.42466,1.41518,1.57938,5.2048e-05,5.2048e-05,5.2048e-05
14,288.256,1.12488,1.19376,1.3861,0.67612,0.74082,0.74484,0.43353,1.42506,1.41213,1.57988,4.8052e-05,4.8052e-05,4.8052e-05
15,308.588,1.10959,1.17387,1.37558,0.74875,0.67542,0.74321,0.43608,1.42419,1.41415,1.58095,4.4056e-05,4.4056e-05,4.4056e-05
16,354.291,1.1063,1.18294,1.36458,0.73771,0.68457,0.74664,0.43697,1.42285,1.40697,1.58043,4.006e-05,4.006e-05,4.006e-05
17,374.701,1.12426,1.18622,1.3872,0.69777,0.70779,0.74699,0.43616,1.42761,1.4129,1.58242,3.6064e-05,3.6064e-05,3.6064e-05
18,395.303,1.10519,1.17782,1.37199,0.71491,0.70431,0.7485,0.43622,1.42517,1.40832,1.58031,3.2068e-05,3.2068e-05,3.2068e-05
19,415.578,1.09791,1.17084,1.36572,0.6848,0.72289,0.74737,0.43648,1.42306,1.40741,1.57808,2.8072e-05,2.8072e-05,2.8072e-05
20,435.928,1.10049,1.19086,1.37664,0.70283,0.71276,0.7495,0.43716,1.42481,1.409,1.57959,2.4076e-05,2.4076e-05,2.4076e-05
21,456.806,1.10364,1.17311,1.36426,0.69607,0.71926,0.74602,0.43701,1.42515,1.40049,1.57872,2.008e-05,2.008e-05,2.008e-05
22,477.827,1.112,1.17826,1.37423,0.68104,0.73024,0.74744,0.43625,1.4308,1.4027,1.58434,1.6084e-05,1.6084e-05,1.6084e-05
